file_name,label,fault_location,fault_diameter,motor_load,rpm,sample_freq,fault
97,normal_0,nan,nan,0,1797,12,normal
98,normal_1,nan,nan,1,1772,12,normal
99,normal_2,nan,nan,2,1750,12,normal
100,normal_3,nan,nan,3,1730,12,normal
105,IR007_0,DE,0.007,0,1797,12,IR
106,IR007_1,DE,0.007,1,1772,12,IR
107,IR007_2,DE,0.007,2,1750,12,IR
108,IR007_3,DE,0.007,3,1730,12,IR
169,IR014_0,DE,0.014,0,1797,12,IR
170,IR014_1,DE,0.014,1,1772,12,IR
171,IR014_2,DE,0.014,2,1750,12,IR
172,IR014_3,DE,0.014,3,1730,12,IR
209,IR021_0,DE,0.021,0,1797,12,IR
210,IR021_1,DE,0.021,1,1772,12,IR
211,IR021_2,DE,0.021,2,1750,12,IR
212,IR021_3,DE,0.021,3,1730,12,IR
3001,IR028_0,DE,0.028,0,1797,12,IR
3002,IR028_1,DE,0.028,1,1772,12,IR
3003,IR028_2,DE,0.028,2,1750,12,IR
3004,IR028_3,DE,0.028,3,1730,12,IR
118,B007_0,DE,0.007,0,1797,12,B
119,B007_1,DE,0.007,1,1772,12,B
120,B007_2,DE,0.007,2,1750,12,B
121,B007_3,DE,0.007,3,1730,12,B
185,B014_0,DE,0.014,0,1797,12,B
186,B014_1,DE,0.014,1,1772,12,B
187,B014_2,DE,0.014,2,1750,12,B
188,B014_3,DE,0.014,3,1730,12,B
222,B021_0,DE,0.021,0,1797,12,B
223,B021_1,DE,0.021,1,1772,12,B
224,B021_2,DE,0.021,2,1750,12,B
225,B021_3,DE,0.021,3,1730,12,B
3005,B028_0,DE,0.028,0,1797,12,B
3006,B028_1,DE,0.028,1,1772,12,B
3007,B028_2,DE,0.028,2,1750,12,B
3008,B028_3,DE,0.028,3,1730,12,B
130,OR007@6_0,DE,0.007,0,1797,12,OR
131,OR007@6_1,DE,0.007,1,1772,12,OR
132,OR007@6_2,DE,0.007,2,1750,12,OR
133,OR007@6_3,DE,0.007,3,1730,12,OR
197,OR014@6_0,DE,0.014,0,1797,12,OR
198,OR014@6_1,DE,0.014,1,1772,12,OR
199,OR014@6_2,DE,0.014,2,1750,12,OR
200,OR014@6_3,DE,0.014,3,1730,12,OR
234,OR021@6_0,DE,0.021,0,1797,12,OR
235,OR021@6_1,DE,0.021,1,1772,12,OR
236,OR021@6_2,DE,0.021,2,1750,12,OR
237,OR021@6_3,DE,0.021,3,1730,12,OR
144,OR007@3_0,DE,0.007,0,1797,12,OR
145,OR007@3_1,DE,0.007,1,1772,12,OR
146,OR007@3_2,DE,0.007,2,1750,12,OR
147,OR007@3_3,DE,0.007,3,1730,12,OR
246,OR021@3_0,DE,0.021,0,1797,12,OR
247,OR021@3_1,DE,0.021,1,1772,12,OR
248,OR021@3_2,DE,0.021,2,1750,12,OR
249,OR021@3_3,DE,0.021,3,1730,12,OR
156,OR007@12_0,DE,0.007,0,1797,12,OR
158,OR007@12_1,DE,0.007,1,1772,12,OR
159,OR007@12_2,DE,0.007,2,1750,12,OR
160,OR007@12_3,DE,0.007,3,1730,12,OR
258,OR021@12_0,DE,0.021,0,1797,12,OR
259,OR021@12_1,DE,0.021,1,1772,12,OR
260,OR021@12_2,DE,0.021,2,1750,12,OR
261,OR021@12_3,DE,0.021,3,1730,12,OR
278,IR007_0,FE,0.007,0,1797,12,IR
279,IR007_1,FE,0.007,1,1772,12,IR
280,IR007_2,FE,0.007,2,1750,12,IR
281,IR007_3,FE,0.007,3,1730,12,IR
274,IR014_0,FE,0.014,0,1797,12,IR
275,IR014_1,FE,0.014,1,1772,12,IR
276,IR014_2,FE,0.014,2,1750,12,IR
277,IR014_3,FE,0.014,3,1730,12,IR
270,IR021_0,FE,0.021,0,1797,12,IR
271,IR021_1,FE,0.021,1,1772,12,IR
273,IR021_2,FE,0.021,2,1750,12,IR
274,IR021_3,FE,0.021,3,1730,12,IR
282,B007_0,FE,0.007,0,1797,12,B
283,B007_1,FE,0.007,1,1772,12,B
284,B007_2,FE,0.007,2,1750,12,B
285,B007_3,FE,0.007,3,1730,12,B
286,B014_0,FE,0.014,0,1797,12,B
287,B014_1,FE,0.014,1,1772,12,B
288,B014_2,FE,0.014,2,1750,12,B
289,B014_3,FE,0.014,3,1730,12,B
290,B021_0,FE,0.021,0,1797,12,B
291,B021_1,FE,0.021,1,1772,12,B
292,B021_2,FE,0.021,2,1750,12,B
293,B021_3,FE,0.021,3,1730,12,B
294,OR007@6_0,FE,0.007,0,1797,12,OR
295,OR007@6_1,FE,0.007,1,1772,12,OR
296,OR007@6_2,FE,0.007,2,1750,12,OR
297,OR007@6_3,FE,0.007,3,1730,12,OR
313,OR014@6_0,FE,0.014,0,1797,12,OR
315,OR021@6_0,FE,0.021,0,1797,12,OR
298,OR007@3_0,FE,0.007,0,1797,12,OR
299,OR007@3_1,FE,0.007,1,1772,12,OR
300,OR007@3_2,FE,0.007,2,1750,12,OR
301,OR007@3_3,FE,0.007,3,1730,12,OR
309,OR0014@3_0,FE,0.014,0,1797,12,OR
310,OR0014@3_1,FE,0.014,1,1772,12,OR
311,OR0014@3_2,FE,0.014,2,1750,12,OR
312,OR0014@3_3,FE,0.014,3,1730,12,OR
316,OR021@3_1,FE,0.021,1,1772,12,OR
317,OR021@3_2,FE,0.021,2,1750,12,OR
318,OR021@3_3,FE,0.021,3,1730,12,OR
109,OR007@12_0,FE,0.007,0,1797,12,OR
110,OR007@12_1,FE,0.007,1,1772,12,OR
111,OR007@12_2,FE,0.007,2,1750,12,OR
112,OR007@12_3,FE,0.007,3,1730,12,OR
109,IR007_0,DE,0.007,0,1797,48,IR
110,IR007_1,DE,0.007,1,1772,48,IR
111,IR007_2,DE,0.007,2,1750,48,IR
112,IR007_3,DE,0.007,3,1730,48,IR
174,IR014_0,DE,0.014,0,1797,48,IR
175,IR014_1,DE,0.014,1,1772,48,IR
176,IR014_2,DE,0.014,2,1750,48,IR
177,IR014_3,DE,0.014,3,1730,48,IR
213,IR021_0,DE,0.021,0,1797,48,IR
214,IR021_1,DE,0.021,1,1772,48,IR
215,IR021_2,DE,0.021,2,1750,48,IR
217,IR021_3,DE,0.021,3,1730,48,IR
122,B007_0,DE,0.007,0,1797,48,B
123,B007_1,DE,0.007,1,1772,48,B
124,B007_2,DE,0.007,2,1750,48,B
125,B007_3,DE,0.007,3,1730,48,B
189,B014_0,DE,0.014,0,1797,48,B
190,B014_1,DE,0.014,1,1772,48,B
191,B014_2,DE,0.014,2,1750,48,B
192,B014_3,DE,0.014,3,1730,48,B
226,B021_0,DE,0.021,0,1797,48,B
227,B021_1,DE,0.021,1,1772,48,B
228,B021_2,DE,0.021,2,1750,48,B
229,B021_3,DE,0.021,3,1730,48,B
135,OR007@6_0,DE,0.007,0,1797,48,OR
136,OR007@6_1,DE,0.007,1,1772,48,OR
137,OR007@6_2,DE,0.007,2,1750,48,OR
138,OR007@6_3,DE,0.007,3,1730,48,OR
201,OR014@6_0,DE,0.014,0,1797,48,OR
202,OR014@6_1,DE,0.014,1,1772,48,OR
203,OR014@6_2,DE,0.014,2,1750,48,OR
204,OR014@6_3,DE,0.014,3,1730,48,OR
135,OR021@6_0,DE,0.021,0,1797,48,OR
136,OR021@6_1,DE,0.021,1,1772,48,OR
137,OR021@6_2,DE,0.021,2,1750,48,OR
138,OR021@6_3,DE,0.021,3,1730,48,OR
148,OR007@3_0,DE,0.007,0,1797,48,OR
149,OR007@3_1,DE,0.007,1,1772,48,OR
150,OR007@3_2,DE,0.007,2,1750,48,OR
151,OR007@3_3,DE,0.007,3,1730,48,OR
250,OR021@3_0,DE,0.021,0,1797,48,OR
251,OR021@3_1,DE,0.021,1,1772,48,OR
252,OR021@3_2,DE,0.021,2,1750,48,OR
253,OR021@3_3,DE,0.021,3,1730,48,OR
161,OR007@12_0,DE,0.007,0,1797,48,OR
162,OR007@12_1,DE,0.007,1,1772,48,OR
163,OR007@12_2,DE,0.007,2,1750,48,OR
164,OR007@12_3,DE,0.007,3,1730,48,OR
262,OR021@12_0,DE,0.021,0,1797,48,OR
263,OR021@12_1,DE,0.021,1,1772,48,OR
264,OR021@12_2,DE,0.021,2,1750,48,OR
265,OR021@12_3,DE,0.021,3,1730,48,OR
