file_name,label,fault_location,fault_diameter,motor_load,rpm,sample_freq,fault
N15_M07_F10_K001_1,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_2,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_3,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_4,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_5,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_6,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_7,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_8,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_9,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_10,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_11,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_12,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_13,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_14,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_15,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_16,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_17,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_18,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_19,normal_0,nan,nan,0,1500,64,normal
N15_M07_F10_K001_20,normal_0,nan,nan,0,1500,64,normal
N09_M07_F10_K001_1,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_2,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_3,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_4,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_5,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_6,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_7,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_8,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_9,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_10,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_11,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_12,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_13,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_14,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_15,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_16,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_17,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_18,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_19,normal_1,nan,nan,1,900,64,normal
N09_M07_F10_K001_20,normal_1,nan,nan,1,900,64,normal
N15_M01_F10_K001_1,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_2,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_3,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_4,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_5,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_6,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_7,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_8,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_9,normal_2,nan,nan,2,1500,64,normal
N15_M01_F10_K001_10,normal_2,nan,nan,2,1500,64,normal
